bairro,tier_socio,renda_proxy,pop_density,area_km2,n_pdv,n_brands,density_pdv_km2,big_chain_count,popular_chain_count,independent_count,chain_ratio_pct,indep_ratio_pct,market_hhi,saturation_score,demand_score,opportunity_score,chain_entry_gap,opp_tier,top_brands,rank
Morumbi,A,8500,4,1.8,0,0,0.0,0,0,0,0.0,0.0,0,0.0,80.0,80.0,0.0,🔴 Alta,—,1
Centro,B,5200,5,2.5,0,0,0.0,0,0,0,0.0,0.0,0,0.0,61.2,61.2,0.0,🔴 Alta,—,2
Nova Paulínia,A,8500,3,2.0,1,1,0.5,0,0,1,0.0,100.0,10000.0,7.5,60.0,55.5,100.0,🔴 Alta,Unknown,3
Betel,B,5200,3,4.5,0,0,0.0,0,0,0,0.0,0.0,0,0.0,36.7,36.7,0.0,🟡 Média,—,4
Parque da Represa,B,5200,3,1.7,0,0,0.0,0,0,0,0.0,0.0,0,0.0,36.7,36.7,0.0,🟡 Média,—,5
João Aranha,C,2800,5,3.2,0,0,0.0,0,0,0,0.0,0.0,0,0.0,32.9,32.9,0.0,🟢 Baixa,—,6
Santa Terezinha,C,2800,4,1.5,0,0,0.0,0,0,0,0.0,0.0,0,0.0,26.4,26.4,0.0,🟢 Baixa,—,7
Monte Alegre,C,2800,4,2.1,1,1,0.48,0,0,1,0.0,100.0,10000.0,7.1,26.4,22.1,100.0,🟢 Baixa,Rede Menor Preço Drogarias,8
Bom Retiro,D,1800,4,2.8,0,0,0.0,0,0,0,0.0,0.0,0,0.0,16.9,16.9,0.0,🟢 Baixa,—,9
São José,E,1100,4,2.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,10.4,10.4,0.0,🟢 Baixa,—,10
