City_Tier,City,Microbairro,Latitude,Longitude,City_Income_Proxy,Mapped_Pharmacies,Big_Chains_Mapped,Opportunity_Score
A,Jundiaí,Jardim Botânico,-23.16634,-46.9046367,3400,0,0,100.0
A,Jundiaí,Jardim Boa Vista,-23.1830262,-46.8682042,3400,0,0,100.0
A,Jundiaí,Jardim Carlos Gomes3,-23.1737592,-46.8769693,3400,0,0,100.0
A,Jundiaí,Jardim Carlos Gomes2,-23.1732167,-46.8770176,3400,0,0,100.0
A,Jundiaí,Jardim Neide Eliana,-23.1854907,-46.8523652,3400,0,0,100.0
A,Jundiaí,Jardim São Miguel,-23.1852906,-46.869903,3400,0,0,100.0
A,Jundiaí,Parque Cidade Jardim II,-23.2246919,-46.8599815,3400,0,0,100.0
A,Jundiaí,Nova Cidade Jardim,-23.2263055,-46.8549939,3400,0,0,100.0
A,Jundiaí,Jardim das Verduras,-23.1828647,-46.8464771,3400,0,0,100.0
A,Jundiaí,Jardim Aurélia,-23.2190113,-46.8549621,3400,0,0,100.0
A,Jundiaí,Jardim Santana,-23.186657,-46.8683175,3400,0,0,100.0
A,Jundiaí,Jardim Pacaembu,-23.186683,-46.8631219,3400,0,0,100.0
A,Jundiaí,Jardim Califórnia,-23.15842,-46.8704025,3400,0,0,100.0
A,Jundiaí,Jardim Itália,-23.1802332,-46.8443808,3400,0,0,100.0
A,Jundiaí,Jardim Mafalda,-23.2122514,-46.8736632,3400,0,0,100.0
A,Jundiaí,Jardim Santa Júlia,-23.2131092,-46.8753104,3400,0,0,100.0
A,Jundiaí,Jardim das Carpas,-23.1808578,-46.846745,3400,0,0,100.0
A,Jundiaí,Jardim Adélia,-23.1850043,-46.8570628,3400,0,0,100.0
A,Jundiaí,Jardim Marajoara,-23.181685,-46.7925925,3400,0,0,100.0
A,Jundiaí,Jardim Vila Rica,-23.1744369,-46.8739802,3400,0,0,100.0
A,Jundiaí,Jardim da Fonte,-23.1762329,-46.8729326,3400,0,0,100.0
A,Jundiaí,Jardim Merci,-23.2089913,-46.8725279,3400,0,0,100.0
A,Jundiaí,Jardim Carlos Gomes,-23.1740205,-46.8776609,3400,0,0,100.0
A,Jundiaí,Jardim Santa Adelaide,-23.1981949,-46.8986741,3400,0,0,100.0
A,Jundiaí,Jardim Sagrado Coração de Jesus,-23.1822633,-46.8498878,3400,0,0,100.0
A,Jundiaí,Jardim Paulista,-23.2007655,-46.8964665,3400,0,0,100.0
A,Jundiaí,Jardim Santa Rita de Cássia,-23.1889782,-46.8539366,3400,0,0,100.0
A,Jundiaí,Jardim Anhanguera,-23.2056084,-46.8980399,3400,0,0,100.0
A,Jundiaí,Jardim Morumbi,-23.1789716,-46.9007556,3400,0,0,100.0
A,Vinhedo,Jardim Belo Horizonte,-23.0808855,-46.9849139,4500,0,0,100.0
